zip3,year,quarter,hpi_index
17,2005,3,236.5
17,2005,4,234.99
17,2006,1,233.22
17,2006,2,231.03
17,2006,3,229.21
17,2006,4,229.44
17,2007,1,227.46
17,2007,2,224.03
17,2007,3,221.18
17,2007,4,221.52
17,2008,1,219.54
17,2008,2,213.56
17,2008,3,210.56
17,2008,4,209.96
17,2009,1,209.55
17,2009,2,205.36
17,2009,3,202.91
17,2009,4,203.64
17,2010,1,202.3
17,2010,2,202.12
17,2010,3,203.62
17,2010,4,203.33
17,2011,1,201.09
17,2011,2,199.77
17,2011,3,200.63
17,2011,4,200.93
17,2012,1,199.47
17,2012,2,199.72
17,2012,3,200.66
17,2012,4,201.71
17,2013,1,202.21
17,2013,2,205.11
17,2013,3,209.8
17,2013,4,210.09
17,2014,1,211.68
17,2014,2,217.52
17,2014,3,218.49
17,2014,4,219.86
17,2015,1,221.3
17,2015,2,224.03
17,2015,3,227.0
17,2015,4,227.69
17,2016,1,229.75
17,2016,2,232.68
17,2016,3,235.65
17,2016,4,238.19
17,2017,1,239.68
17,2017,2,246.54
17,2017,3,248.26
17,2017,4,250.37
17,2018,1,251.63
17,2018,2,257.15
17,2018,3,261.12
17,2018,4,258.99
17,2019,1,262.1
17,2019,2,265.28
17,2019,3,267.91
17,2019,4,268.7
17,2020,1,272.2
17,2020,2,273.93
17,2020,3,277.64
17,2020,4,282.42
17,2021,1,286.95
17,2021,2,302.29
17,2021,3,317.15
17,2021,4,325.44
17,2022,1,333.93
17,2022,2,355.49
17,2022,3,360.08
17,2022,4,350.39
17,2023,1,356.82
17,2023,2,374.59
17,2023,3,384.17
17,2023,4,386.23
17,2024,1,391.52
17,2024,2,402.48
17,2024,3,401.63
17,2024,4,404.16
17,2025,1,408.31
17,2025,2,418.31
17,2025,3,418.92
17,2025,4,418.67
18,1995,1,100.0
18,1995,2,101.74
18,1995,3,103.07
18,1995,4,104.21
18,1996,1,105.13
18,1996,2,105.75
18,1996,3,107.06
18,1996,4,108.28
18,1997,1,109.11
18,1997,2,111.26
18,1997,3,113.05
18,1997,4,114.59
18,1998,1,116.49
18,1998,2,119.64
18,1998,3,122.95
18,1998,4,124.61
18,1999,1,127.43
18,1999,2,132.22
18,1999,3,137.64
18,1999,4,140.85
18,2000,1,147.77
18,2000,2,151.47
18,2000,3,157.69
18,2000,4,161.55
18,2001,1,165.93
18,2001,2,170.99
18,2001,3,176.94
18,2001,4,179.97
18,2002,1,185.0
18,2002,2,191.38
18,2002,3,196.31
18,2002,4,200.02
18,2003,1,203.4
18,2003,2,206.23
18,2003,3,209.79
18,2003,4,217.22
18,2004,1,220.28
18,2004,2,224.81
18,2004,3,235.14
18,2004,4,237.82
18,2005,1,242.6
18,2005,2,248.3
18,2005,3,252.45
18,2005,4,252.82
18,2006,1,252.36
18,2006,2,248.32
18,2006,3,246.21
18,2006,4,247.11
18,2007,1,244.59
18,2007,2,240.41
18,2007,3,236.42
18,2007,4,235.97
18,2008,1,235.63
18,2008,2,228.65
18,2008,3,222.53
18,2008,4,222.64
18,2009,1,223.0
18,2009,2,218.47
18,2009,3,215.37
18,2009,4,216.17
18,2010,1,216.0
18,2010,2,215.26
18,2010,3,216.48
18,2010,4,216.63
18,2011,1,214.42
18,2011,2,211.89
18,2011,3,212.57
18,2011,4,213.38
18,2012,1,211.6
18,2012,2,211.28
18,2012,3,213.17
18,2012,4,214.16
18,2013,1,214.78
18,2013,2,216.88
18,2013,3,221.99
18,2013,4,222.99
18,2014,1,225.11
18,2014,2,229.13
18,2014,3,232.91
18,2014,4,233.96
18,2015,1,236.26
18,2015,2,239.4
18,2015,3,243.94
18,2015,4,245.01
18,2016,1,248.46
18,2016,2,251.39
18,2016,3,255.31
18,2016,4,257.77
18,2017,1,262.21
18,2017,2,267.92
18,2017,3,273.15
18,2017,4,275.78
18,2018,1,275.88
18,2018,2,282.44
18,2018,3,286.21
18,2018,4,287.12
18,2019,1,289.4
18,2019,2,294.02
18,2019,3,297.91
18,2019,4,300.2
18,2020,1,303.92
18,2020,2,306.41
18,2020,3,312.07
18,2020,4,317.35
18,2021,1,323.58
18,2021,2,342.83
18,2021,3,359.51
18,2021,4,367.81
18,2022,1,376.61
18,2022,2,402.06
18,2022,3,403.98
18,2022,4,397.08
18,2023,1,405.12
18,2023,2,415.92
18,2023,3,423.95
18,2023,4,428.34
18,2024,1,433.42
18,2024,2,449.31
18,2024,3,449.84
18,2024,4,452.83
18,2025,1,460.75
18,2025,2,471.97
18,2025,3,470.87
18,2025,4,475.46
19,1995,1,100.0
19,1995,2,101.49
19,1995,3,103.85
19,1995,4,104.08
19,1996,1,106.12
19,1996,2,106.45
19,1996,3,107.18
19,1996,4,109.08
19,1997,1,110.54
19,1997,2,111.65
19,1997,3,113.51
19,1997,4,115.83
19,1998,1,117.14
19,1998,2,119.75
19,1998,3,123.21
19,1998,4,125.13
19,1999,1,127.91
19,1999,2,132.6
19,1999,3,138.79
19,1999,4,142.77
19,2000,1,148.03
19,2000,2,153.92
19,2000,3,159.54
19,2000,4,163.77
19,2001,1,167.98
19,2001,2,172.86
19,2001,3,178.49
19,2001,4,181.74
19,2002,1,186.96
19,2002,2,194.08
19,2002,3,198.74
19,2002,4,203.21
19,2003,1,206.62
19,2003,2,209.86
19,2003,3,213.59
19,2003,4,221.25
19,2004,1,224.57
19,2004,2,229.14
19,2004,3,238.99
19,2004,4,241.81
19,2005,1,247.95
19,2005,2,251.79
19,2005,3,255.05
19,2005,4,254.96
19,2006,1,255.23
19,2006,2,251.48
19,2006,3,251.61
19,2006,4,250.63
19,2007,1,249.75
19,2007,2,243.85
19,2007,3,239.36
19,2007,4,239.72
19,2008,1,239.61
19,2008,2,232.21
19,2008,3,225.26
19,2008,4,225.58
19,2009,1,225.44
19,2009,2,220.31
19,2009,3,216.13
19,2009,4,216.62
19,2010,1,215.03
19,2010,2,214.11
19,2010,3,215.39
19,2010,4,216.05
19,2011,1,212.83
19,2011,2,209.84
19,2011,3,211.64
19,2011,4,212.4
19,2012,1,211.11
19,2012,2,209.92
19,2012,3,211.54
19,2012,4,212.87
19,2013,1,214.2
19,2013,2,217.12
19,2013,3,220.33
19,2013,4,220.6
19,2014,1,223.64
19,2014,2,227.68
19,2014,3,230.97
19,2014,4,232.2
19,2015,1,235.04
19,2015,2,237.51
19,2015,3,242.45
19,2015,4,244.66
19,2016,1,247.61
19,2016,2,250.46
19,2016,3,256.58
19,2016,4,258.56
19,2017,1,261.71
19,2017,2,268.7
19,2017,3,273.7
19,2017,4,276.65
19,2018,1,278.19
19,2018,2,286.26
19,2018,3,289.06
19,2018,4,290.58
19,2019,1,293.98
19,2019,2,298.69
19,2019,3,301.58
19,2019,4,304.49
19,2020,1,308.46
19,2020,2,311.1
19,2020,3,317.43
19,2020,4,323.71
19,2021,1,330.88
19,2021,2,347.37
19,2021,3,365.79
19,2021,4,373.63
19,2022,1,381.67
19,2022,2,403.56
19,2022,3,408.17
19,2022,4,403.31
19,2023,1,399.27
19,2023,2,418.14
19,2023,3,430.26
19,2023,4,426.83
19,2024,1,431.98
19,2024,2,451.73
19,2024,3,449.55
19,2024,4,454.61
19,2025,1,463.78
19,2025,2,467.59
19,2025,3,474.52
19,2025,4,477.55
20,1995,1,100.0
20,1995,2,101.54
20,1995,3,103.1
20,1995,4,103.13
20,1996,1,104.56
20,1996,2,104.89
20,1996,3,105.62
20,1996,4,107.22
20,1997,1,107.77
20,1997,2,109.1
20,1997,3,110.65
20,1997,4,112.44
20,1998,1,113.74
20,1998,2,116.12
20,1998,3,119.22
20,1998,4,121.36
20,1999,1,123.91
20,1999,2,128.42
20,1999,3,134.03
20,1999,4,138.7
20,2000,1,144.03
20,2000,2,148.29
20,2000,3,153.61
20,2000,4,157.45
20,2001,1,161.39
